Class ID,Preferred Label,Synonyms,Definitions,Obsolete,CUI,Semantic Types,Parents,altLabel,comment,http://www.geneontology.org/formats/oboInOwl#hasDbXref,http://www.w3.org/2000/01/rdf-schema#seeAlso,http://www.w3.org/2004/02/skos/core#notation,id,label,may_be_caused_by,may_cause
rgo:15224,cocaine abuse,,,false,,,rgo:00000,,,SNOMEDCT:78267003|ICD10CM:F14.1|DOID:809|ORDO:90068,,RGO:15224,RGO:15224,cocaine abuse,,
rgo:15223,clomipramine,,,false,,,rgo:33195,,,SNOMEDCT:96209002|SNOMEDCT:372903001,,RGO:15223,RGO:15223,clomipramine,,
rgo:15226,diproprionate aerosol,,,false,,,rgo:33195,,,,,RGO:15226,RGO:15226,diproprionate aerosol,,
rgo:15220,beta-2 sympathomimetic with corticosteroid,,,false,,,rgo:33195,,,,,RGO:15220,RGO:15220,beta-2 sympathomimetic with corticosteroid,,
rgo:15228,fluoxetine hydrochloride,,,false,,,rgo:33195,Prozac,,SNOMEDCT:75115009,,RGO:15228,RGO:15228,fluoxetine hydrochloride,,
rgo:15225,desferioxamine,,,false,,,rgo:33195,,,,,RGO:15225,RGO:15225,desferioxamine,,
rgo:15222,chlorpropamide,,,false,,,rgo:33195,,,SNOMEDCT:111154004|SNOMEDCT:386991003,,RGO:15222,RGO:15222,chlorpropamide,,
rgo:00712,small bowel pseudodiverticulum,,,false,,,rgo:00000,,,,,RGO:00712,RGO:00712,small bowel pseudodiverticulum,,
rgo:00711,Meckel diverticulum,,,false,,,rgo:00000,,,RADLEX:RID4818|SNOMEDCT:127962001|SNOMEDCT:37373007|DOID:9487|HP:0002245,,RGO:00711,RGO:00711,Meckel diverticulum,,
rgo:00710,ileal diverticulum,,,false,,,rgo:00000,,,RADLEX:RID4818,,RGO:00710,RGO:00710,ileal diverticulum,,
rgo:00715,communicating ileal duplication,,,false,,,rgo:00000,,,,,RGO:00715,RGO:00715,communicating ileal duplication,,
rgo:00717,intraluminal duodenal diverticulum,,,false,,,rgo:00000,,,,,RGO:00717,RGO:00717,intraluminal duodenal diverticulum,,
rgo:35221,blepharophimosis - epicanthus inversus - ptosis due to 3q23 microdeletion,,,false,,,rgo:00000,,,ORDO:261559,,RGO:35221,RGO:35221,blepharophimosis - epicanthus inversus - ptosis due to 3q23 microdeletion,,
rgo:35228,dystroglycanopathy type C7,,,false,,,rgo:00000,,,,,RGO:35228,RGO:35228,dystroglycanopathy type C7,,
rgo:35226,progressive brain atrophy,,,false,,,rgo:00000,,,,,RGO:35226,RGO:35226,progressive brain atrophy,,
rgo:35225,infantile spasms - psychomotor retardation - progressive brain atrophy - basal ganglia disease,,,false,,,rgo:00000,,,ORDO:263410,,RGO:35225,RGO:35225,infantile spasms - psychomotor retardation - progressive brain atrophy - basal ganglia disease,,
rgo:35227,autosomal recessive limb-girdle muscular dystrophy - dystroglycanopathy type C7,,,false,,,rgo:00000,LGMD2P,,ORDO:280333,,RGO:35227,RGO:35227,autosomal recessive limb-girdle muscular dystrophy - dystroglycanopathy type C7,,
rgo:35222,3q23 microdeletion,,,false,,,rgo:00000,,,,,RGO:35222,RGO:35222,3q23 microdeletion,,
rgo:35224,blepharophimosis - epicanthus inversus - ptosis due to polyA expansion,,,false,,,rgo:00000,,,ORDO:261579,,RGO:35224,RGO:35224,blepharophimosis - epicanthus inversus - ptosis due to polyA expansion,,
rgo:35220,renal tubulopathy,,,false,,,rgo:00000,,,,,RGO:35220,RGO:35220,renal tubulopathy,,
rgo:35223,blepharophimosis - epicanthus inversus - ptosis due to a point mutation,,,false,,,rgo:00000,,,ORDO:261572,,RGO:35223,RGO:35223,blepharophimosis - epicanthus inversus - ptosis due to a point mutation,,
rgo:19757,alpha1-antitrypsin deficiency,,,false,,,rgo:00000,alpha-1|AAT deficiency|A1AT deficiency|A1AD|alpha 1-antitrypsin deficiency|alpha-1 antitrypsin deficiency,,,,RGO:19757,RGO:19757,alpha1-antitrypsin deficiency,,
rgo:19758,bronchitis,,,false,,,rgo:00000,,,SNOMEDCT:32398004|RADLEX:RID34637|DOID:6132|HP:0012387,,RGO:19758,RGO:19758,bronchitis,,
rgo:19756,agammaglobulinemia,,,false,,,rgo:00000,,,SNOMEDCT:119249001|DOID:2583|HP:0004432,,RGO:19756,RGO:19756,agammaglobulinemia,,
rgo:19755,Mounier-Kuhn syndrome,,,false,,,rgo:00000,,,SNOMEDCT:57451009,,RGO:19755,RGO:19755,Mounier-Kuhn syndrome,,
rgo:22818,osteopenia,,,false,,,rgo:00000,,,SNOMEDCT:312894000|RADLEX:RID5388|SNOMEDCT:78441005|HP:0000938,,RGO:22818,RGO:22818,osteopenia,,
