layer_idx,base_alpha,ft_alpha,delta_alpha,abs_delta,layer_name
143,34.59750605888497,8.786284531784904,-25.811221527100063,25.811221527100063,v_proj
157,24.841590700182973,9.32486573815252,-15.516724962030453,15.516724962030453,v_proj
108,22.26906852056933,9.105010295166872,-13.164058225402458,13.164058225402458,v_proj
102,15.472010575334691,3.2812379570775048,-12.190772618257187,12.190772618257187,o_proj
164,16.351414764867222,7.4316487968433185,-8.919765968023903,8.919765968023903,v_proj
101,4.5172162220170335,11.500416185323527,6.983199963306493,6.983199963306493,v_proj
167,9.633488435442763,2.782712450572261,-6.850775984870502,6.850775984870502,up_proj
195,8.920968132703027,2.6171030003909683,-6.303865132312059,6.303865132312059,up_proj
122,14.13097079420758,8.553127908090136,-5.577842886117443,5.577842886117443,v_proj
181,10.220577681469791,5.253266075205846,-4.967311606263945,4.967311606263945,up_proj
202,7.360062561007605,2.6616022605134164,-4.6984603004941885,4.6984603004941885,up_proj
188,9.855533555406577,5.394543986983889,-4.460989568422688,4.460989568422688,up_proj
174,9.844712233089112,5.424703468173364,-4.420008764915748,4.420008764915748,up_proj
20,9.445108866774918,5.034584180717053,-4.410524686057865,4.410524686057865,up_proj
27,9.36456484888898,4.986764816816372,-4.377800032072608,4.377800032072608,up_proj
150,4.462007761532834,8.52431049002988,4.062302728497046,4.062302728497046,v_proj
147,8.594717540598344,4.655158190123016,-3.939559350475328,3.939559350475328,down_proj
129,10.523703659029959,6.630928279154863,-3.892775379875096,3.892775379875096,v_proj
160,8.68943610783672,5.453851978466031,-3.2355841293706886,3.2355841293706886,up_proj
153,8.353010497292537,5.22994972795826,-3.123060769334277,3.123060769334277,up_proj
115,12.07288394152058,8.989567056838496,-3.083316884682084,3.083316884682084,v_proj
206,7.178632381003125,10.235383060611326,3.056750679608201,3.056750679608201,v_proj
210,8.34243611398643,5.6624121983344375,-2.6800239156519927,2.6800239156519927,down_proj
34,7.661115595116009,5.072488087929063,-2.5886275071869456,2.5886275071869456,up_proj
41,7.737415650544917,5.2021378075870395,-2.5352778429578775,2.5352778429578775,up_proj
161,7.330058079569072,4.867021234812415,-2.4630368447566573,2.4630368447566573,down_proj
31,11.01685694626463,8.62247410954293,-2.3943828367217,2.3943828367217,v_proj
