layer_id,name,D,M,N,Q,alpha,alpha_weighted,entropy,has_esd,lambda_max,layer_type,log_alpha_norm,log_norm,log_spectral_norm,longname,matrix_rank,norm,num_evals,num_pl_spikes,rank_loss,rf,sigma,spectral_norm,stable_rank,status,sv_max,sv_min,warning,weak_rank_loss,xmax,xmin
2,embed_tokens,0.021466060109306406,4096,32768,8.0,3.4394161453892207,4.774237432919559,1.1734440835187594,True,24.439668655395508,embedding,4.785638268776454,2.981718178377003,1.388095313595524,model.embed_tokens,4096,958.7782608754933,4096,910,0,1,0.08086585779219618,24.439668655395508,39.230411606412076,success,4.9436492919921875,0.15741541981697083,,0,24.439668655395508,0.2924272119998932
6,q_proj,0.026114833829651185,4096,4096,1.0,1.423395547861227,2.531544576928508,0.6803470921048211,True,60.051658630371094,dense,2.9923979428341307,2.464103826113465,1.7785250071439167,model.layers.0.self_attn.q_proj,4096,291.1413061914597,4096,679,2073,1,0.016248429852712243,60.051658630371094,4.848180930080342,success,7.749300479888916,2.910551244461601e-10,over-trained,1676,60.051658630371094,0.0012514906702563167
7,k_proj,0.022324911606490028,1024,4096,4.0,1.4451231087163041,1.6708496243795443,0.5807312608431592,True,14.328436851501465,dense,2.1743983760869448,1.909457856804858,1.1561988139984503,model.layers.0.self_attn.k_proj,1024,81.18164678291538,1024,439,32,1,0.02124456687415188,14.328436851501465,5.665771334603637,success,3.785292148590088,0.0005492810159921646,over-trained,14,14.328436851501465,0.0008659280138090253
8,v_proj,0.034808835165018426,1024,4096,4.0,4.934958161474038,-3.395474090636768,0.9658034074293386,True,0.20509488880634308,dense,-3.1250033028825364,1.2149430840527367,-0.6880451626002364,model.layers.0.self_attn.v_proj,1024,16.403747817443218,1024,39,0,1,0.6300975856970976,0.20509488880634308,79.98126093201739,success,0.4528740346431732,0.022502321749925613,,0,0.20509488880634308,0.06354253739118576
9,o_proj,0.03817616462248319,4096,4096,1.0,3.1059970055123967,-0.3683464647646789,1.093986028121455,True,0.7610408663749695,dense,0.17647053070928312,1.8152226045434072,-0.11859202185673477,model.layers.0.self_attn.o_proj,4096,65.34654109102841,4096,246,22,1,0.1342734648495827,0.7610408663749695,85.86469397141647,success,0.872376561164856,4.604113001960286e-08,,51,0.7610408663749695,0.07083714008331299
12,gate_proj,0.01991797374891585,4096,14336,3.5,2.3759135008792036,1.4274896725542865,1.1341811900390457,True,3.988569736480713,dense,2.615666743671254,2.7784156684153087,0.6008171896940043,model.layers.0.mlp.gate_proj,4096,600.3654182410683,4096,900,0,1,0.04586378336264012,3.988569736480713,150.52147960456537,success,1.9971404075622559,0.016444869339466095,,0,3.988569736480713,0.16923989355564117
13,up_proj,0.04735733976705797,4096,14336,3.5,3.2522242330157725,0.6469557923496048,1.1633990780596437,True,1.5809829235076904,dense,1.924788102436499,2.7263717264184675,0.19892717906160046,model.layers.0.mlp.up_proj,4096,532.5639025709243,4096,474,0,1,0.10344808514524724,1.5809829235076904,336.8562017035181,success,1.257371425628662,0.018372226506471634,,0,1.5809829235076904,0.28128886222839355
14,down_proj,0.03129651981729453,4096,14336,3.5,4.046675439690162,0.9044796270093143,1.1867140613388059,True,1.6730610132217407,dense,1.4596164758473333,2.695336758405281,0.2235117791108463,model.layers.0.mlp.down_proj,4096,495.8345192447305,4096,743,0,1,0.1117716815439846,1.6730610132217407,296.3636802999333,success,1.2934685945510864,0.09966178238391876,,0,1.6730610132217407,0.18704338371753693
20,q_proj,0.04921563397743234,4096,4096,1.0,2.94796020431474,2.828563773958296,0.9825323853004846,True,9.109585762023926,dense,3.1907101997698954,2.4315565453658006,0.9594986288547277,model.layers.1.self_attn.q_proj,4096,270.1198782906412,4096,42,995,1,0.30057678511860536,9.109585762023926,29.652267989694764,success,3.0182089805603027,5.775809830410594e-10,,986,9.109585762023926,1.2430496215820312
21,k_proj,0.04197639687864685,1024,4096,4.0,2.963980689179025,1.916107529873744,0.8322778130514196,True,4.430617332458496,dense,2.26838962161917,2.0063675594852635,0.6464642421150439,model.layers.1.self_attn.k_proj,1024,101.47698596764717,1024,59,29,1,0.2556885071115852,4.430617332458496,22.903577166150527,success,2.104903221130371,0.00041784794302657247,,27,4.430617332458496,0.5242500901222229
22,v_proj,0.11231105005437353,1024,4096,4.0,4.296288497627784,-4.461294259024639,1.0129686873866075,True,0.09153631329536438,dense,-2.8593845792161816,1.3982078621838163,-1.0384065831444893,model.layers.1.self_attn.v_proj,1024,25.015423643402755,1024,183,0,1,0.243668657264935,0.09153631329536438,273.2841507684972,success,0.30254969000816345,0.04588025435805321,,0,0.09153631329536438,0.04238257557153702
23,o_proj,0.024788816994515073,4096,4096,1.0,3.6095519911869522,-0.09370404113924989,1.1410290577878064,True,0.9419763088226318,dense,0.06320436366361895,2.001244540384561,-0.02596001979415639,model.layers.1.self_attn.o_proj,4096,100.2869770066079,4096,339,12,1,0.14173140906225493,0.9419763088226318,106.46443659708994,success,0.9705546498298645,6.791782197979046e-06,,24,0.9419763088226318,0.07263462990522385
26,gate_proj,0.019574749316245366,4096,14336,3.5,2.6859387295547146,1.9545697124704466,1.1589116792722827,True,5.342007637023926,dense,2.446652454083683,2.769732357903671,0.7277045045604904,model.layers.1.mlp.gate_proj,4096,588.4808812355041,4096,944,0,1,0.054872631795280506,5.342007637023926,110.16099586921432,success,2.3112783432006836,0.021053044125437737,,0,5.342007637023926,0.17555932700634003
27,up_proj,0.05846891007517141,4096,14336,3.5,3.393448297045849,-0.048914910881954266,1.1784582421221104,True,0.9673541188240051,dense,1.4997295481895612,2.7150858591438873,-0.01441451485338289,model.layers.1.mlp.up_proj,4096,518.9026147903642,4096,729,0,1,0.08864623322392033,0.9673541188240051,536.414333378954,success,0.9835416078567505,0.019794205203652382,,0,0.9673541188240051,0.2073066383600235
